Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.950948833,0.996234789,-0.274648105,-0.343667761,1.089046769
1.960905833,1.033901383,-0.38184372,-0.306288266,1.143927094
1.970861833,0.974774119,-0.427224253,-0.248775052,1.092974918
1.980817833,0.978756803,-0.466126949,-0.284475812,1.120787982
1.990773833,1.032362103,-0.561960328,-0.416431097,1.24699069
2.000729833,1.088856293,-0.681138497,-0.562999159,1.402328682
2.010685833,1.294636403,-0.791697431,-0.752616761,1.693900891
2.020642833,1.50297679,-0.692072425,-0.903656774,1.88533791
2.030598833,1.675991223,-0.57537523,-0.96876435,2.01953153
2.040554833,1.72947322,-0.494120676,-0.846620108,1.987963397
2.050510833,1.68451164,-0.435355794,-0.805788417,1.917396439
2.060466833,1.538380219,-0.666417693,-0.553528424,1.765536733
2.070422833,1.443014909,-0.958536108,-0.408702248,1.779921635
2.080378833,1.435400811,-1.175169967,-0.335109776,1.885125593
2.090335833,1.536551356,-1.311381659,-0.096857958,2.022397931
2.100291833,1.718266154,-1.331733478,0.006494502,2.173935328
2.110247833,1.90951586,-1.246753262,-0.215112047,2.290615138
2.120203833,2.160216401,-1.194346568,-0.491132201,2.516785541
2.130159833,2.38936235,-1.255805921,-0.673450724,2.782020278
2.140115833,2.570378406,-1.387047115,-0.775233791,3.021875623
2.150072833,2.651231365,-1.614253689,-0.996311168,3.259981391
2.160028833,2.583717659,-1.551949267,-1.077121443,3.200677127
2.169984833,2.429039217,-1.338054757,-0.691720349,2.858163587
2.179940833,2.282704459,-1.225224983,-0.138622865,2.594442561
2.189896833,2.240291095,-0.977338415,0.335850618,2.46716238
2.199852833,2.150146618,-0.93221896,0.584968318,2.415440043
2.209809833,2.022144928,-0.353276746,0.952856416,2.263141604
2.219765833,2.180798307,-0.093651199,1.13384879,2.45972862
2.229721833,2.118189538,-0.247347747,0.964271935,2.340454698
2.239677833,2.118490962,-0.39573707,0.901568733,2.336116
2.249633833,2.334489301,-0.428583037,0.848445609,2.520591928
2.259589833,2.367917394,-0.450458786,0.704186613,2.511140118
2.269546833,2.400719689,-0.316812304,0.616283081,2.498725655
2.279502833,2.281736306,-0.093913757,0.673520306,2.380917883
2.289458833,2.007625999,-0.028590016,0.711228999,2.130076579
2.299414833,1.742303911,0.187683855,0.806952013,1.929253664
2.309370833,1.473542491,0.508295606,0.98842152,1.845716391
2.319326833,1.294674118,0.722614186,1.041846945,1.812125103
2.329282833,1.254987165,1.027931449,0.880701774,1.84587959
2.339239833,1.31585668,1.147069052,0.573561569,1.83744907
2.349195833,1.450202745,1.387090238,0.393197186,2.044923313
2.359151833,1.590756361,1.557683632,0.388290787,2.260011909
2.369107833,1.618266341,1.615169948,0.412032237,2.323215546
2.379063833,1.480217672,1.597353774,0.479297436,2.22986759
2.389019833,1.164254092,1.55375021,0.486717553,2.001629657
2.398976833,0.864606071,1.573772538,0.483524973,1.859596746
2.408932833,0.904360413,1.564052127,0.257932377,1.825008472
2.418888833,1.188440149,1.675998971,-0.38580806,2.090504819
2.428844833,1.733188394,1.933393258,-1.139900658,2.835723013
2.438800833,2.189911778,2.129120469,-1.893779249,3.59378177
2.448756833,2.629414526,2.016967219,-2.74437371,4.302739194
2.458713833,2.687184432,1.561191376,-3.340517226,4.562601673
2.468669833,1.970558306,1.627088327,-3.07221949,3.996129259
2.478625833,0.525675797,1.661945626,-0.915841786,1.969051672
2.488581833,-0.574096005,1.742230967,1.978752156,2.698224427
2.498537833,-1.077732623,2.45686787,3.979268233,4.799196079
2.508493833,-1.229064557,2.550847244,4.710064355,5.495646238
2.518450833,-0.619935544,2.220637434,3.734573953,4.388917099
2.528406833,0.684369522,2.938134649,2.164415286,3.712908616
2.538362833,1.65021772,3.62895862,1.058619098,4.124710121
2.548318833,2.179686459,3.236477718,0.172667109,3.90584626
2.558274833,2.598174607,2.399308902,-0.181422145,3.541201561
2.568230833,1.506867235,1.874838363,0.578156312,2.473849727
2.578187833,2.119828513,1.935819267,2.177324769,3.603028214
2.588143833,2.270344907,0.911583844,3.146407208,3.985640402
2.598099833,-0.182523906,0.901702634,3.526849862,3.644866605
2.608055833,0.143695471,1.00475177,3.896990892,4.026997954
2.618011833,0.353803325,1.170934317,3.496254306,3.704059684
2.627967833,0.580668568,1.213288916,2.651800007,2.973430553
2.637924833,1.082787102,0.840369727,1.841878193,2.295901667
2.647880833,1.310750452,0.385829402,1.255687222,1.855715893
2.657836833,1.617843002,-0.330379817,0.919588097,1.890028855
2.667792833,1.631827934,-1.354938592,0.772824154,2.257427334
2.677748833,1.668628555,-2.499193818,0.931569627,3.146126661
2.687704833,1.640963916,-3.405165796,1.174617332,3.958237303
2.697661833,1.417512132,-3.829381292,1.477880248,4.342537478
2.707617833,1.311928228,-4.063041292,2.180940102,4.794367523
2.717573833,1.308057809,-4.356725884,2.298562108,5.096612937
2.727529833,1.122626229,-4.527202626,1.992300739,5.071993247
2.737485833,1.136027462,-4.4758439,2.072522199,5.061529934
2.747441833,1.740026567,-5.261151567,1.405570071,5.71690786
2.757398833,2.624713365,-5.862234811,-0.634476693,6.454260445
2.767354583,2.494901084,-5.899116123,-3.095937551,7.113995486
2.777310583,3.354691754,-5.910938609,-4.771464213,8.304217165
2.787266583,2.808421771,-5.49382865,-3.46327718,7.075568874
2.797222583,0.767190946,-5.066659141,0.98513597,5.218247759
2.807178583,0.235457434,-4.648606318,4.760362104,6.65777953
2.817135583,-0.260100378,-4.701942573,4.113441367,6.252704698
2.827091583,0.750894464,-4.193401164,1.742443367,4.602669302
2.837047583,3.298397393,-3.564250408,-0.894806428,4.938014264
2.847003583,4.572857686,-3.413723781,-2.64785489,6.290919884
2.856959583,4.094889906,-3.754155693,-2.36393164,6.037381975
2.866915583,3.642854235,-3.814004869,-1.414147351,5.460479178
2.876872583,2.339493494,-2.986391427,0.453731655,3.820685276
2.886828583,1.610211801,-2.692336414,3.049565622,4.375078044
2.896784583,1.597310358,-2.490457493,4.83965678,5.672394261
2.906740583,-0.314674196,-1.993928896,6.158896805,6.481263931
2.916696583,-1.934833719,-0.236210263,6.546347347,6.8303763
2.926652583,-3.06100453,1.529872812,5.422315448,6.411845629
2.936609583,-3.490664953,2.574032623,3.148632073,5.359502747
2.946565583,-2.710442025,3.307400935,0.841182783,4.358094238
2.956521583,-1.261129811,3.018288573,-1.030565327,3.429661675
2.966477583,0.527387277,3.069071349,-3.010529026,4.331353287
2.976433583,1.669724762,3.757649404,-4.745737633,6.279326039
2.986389583,2.088413762,4.428161318,-5.119934877,7.084053771
2.996346583,2.770105551,5.393810856,-4.692466575,7.66719785
3.006302583,2.042568229,6.458887035,-2.052873216,7.078389304
3.016258583,-0.021575641,6.87808328,0.971245324,6.946352467
3.026214583,-2.128287387,7.165180399,3.088488198,8.087532177
3.036170583,-3.366408112,7.205830243,4.39631972,9.087591548
3.046126583,-3.294617168,7.308398591,4.391785789,9.140841026
3.056083583,-2.100975774,7.105712462,2.98744071,7.989371114
3.066039583,-0.787051307,6.175917465,-0.00996424,6.225873881
3.075995583,0.45607712,5.534990124,-2.579536023,6.123571515
3.085951583,1.141835648,4.632733174,-3.975037188,6.210227528
